Country,AREA,Continent,REG,Region,DEV,Developed_nation,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bulgaria,908,Europe,923,Eastern Europe,901,Developed regions,,1172,1283,1517,1507,2022,1738,1419,1172,994,784,556,365,451,512
Burkina Faso,903,Africa,914,Western Africa,902,Developing regions,,31,46,37,34,97,91,147,136,139,162,186,144,269,322
Burundi,903,Africa,910,Eastern Africa,902,Developing regions,,342,334,364,383,559,626,468,614,448,566,529,604,684,480
Cabo Verde,903,Africa,914,Western Africa,902,Developing regions,,4,5,2,13,3,5,7,2,5,1,3,3,6,2
Cambodia,935,Asia,920,South-Eastern Asia,902,Developing regions,,245,259,230,277,348,370,529,460,354,203,200,196,233,288
Cameroon,903,Africa,911,Middle Africa,902,Developing regions,,244,206,222,301,436,604,697,1025,1279,1344,1800,1638,2507,2439
Canada,905,Northern America,905,Northern America,901,Developed regions,,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Central African Republic,903,Africa,911,Middle Africa,902,Developing regions,,13,6,20,10,13,49,18,30,28,19,26,18,45,169
Chad,903,Africa,911,Middle Africa,902,Developing regions,,148,90,76,64,92,126,96,131,95,87,98,79,97,86
Chile,904,Latin America and the Caribbean,931,South America,902,Developing regions,,366,369,401,347,383,384,427,530,350,375,340,174,291,273
China,935,Asia,906,Eastern Asia,902,Developing regions,,35529,36434,31961,36439,36619,42584,33518,27642,30037,29622,30391,28502,33024,34129
"China, Hong Kong Special Administrative Region",935,Asia,906,Eastern Asia,902,Developing regions,,470,379,430,446,536,729,712,674,897,657,623,591,728,774
"China, Macao Special Administrative Region",935,Asia,906,Eastern Asia,902,Developing regions,,1,15,28,21,21,21,32,16,12,21,21,13,33,29
Colombia,904,Latin America and the Caribbean,931,South America,902,Developing regions,,2259,2965,3283,4318,4566,6424,6535,5357,5452,4652,5218,4366,3741,3631
Comoros,903,Africa,910,Eastern Africa,902,Developing regions,,3,14,2,11,6,5,7,11,3,19,22,14,18,22
Congo,903,Africa,911,Middle Africa,902,Developing regions,,119,106,84,112,142,136,143,87,72,70,75,81,91,114
Costa Rica,904,Latin America and the Caribbean,916,Central America,902,Developing regions,,106,134,106,105,165,188,279,281,246,217,190,149,183,122
Côte d'Ivoire,903,Africa,914,Western Africa,902,Developing regions,,118,143,184,119,256,294,431,619,646,668,1066,636,1024,1170
Croatia,908,Europe,925,Southern Europe,901,Developed regions,,715,376,304,177,151,128,102,102,131,92,91,135,112,125
Cuba,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,,842,950,872,877,866,999,1064,1350,1300,1433,961,962,1304,1402
Cyprus,935,Asia,922,Western Asia,902,Developing regions,,16,22,13,17,11,7,9,4,7,6,18,6,12,16
Czech Republic,908,Europe,923,Eastern Europe,901,Developed regions,,470,290,226,181,191,193,146,137,104,159,168,128,173,174
Democratic People's Republic of Korea,935,Asia,906,Eastern Asia,902,Developing regions,,6,8,11,18,15,14,10,7,19,11,45,97,66,17
Democratic Republic of the Congo,903,Africa,911,Middle Africa,902,Developing regions,,1232,1248,1103,1233,1465,1521,1623,1466,1397,1581,1239,1224,1714,2050
Denmark,908,Europe,924,Northern Europe,901,Developed regions,,93,81,70,89,89,62,101,97,108,81,92,93,94,81
Djibouti,903,Africa,910,Eastern Africa,902,Developing regions,,145,96,62,43,67,93,68,50,47,70,123,127,164,201
Dominica,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,,72,82,62,65,50,59,72,79,60,59,43,36,43,48
